iter	Passed	Remaining
0	0	19
1	0	17
2	0	17
3	0	15
4	0	15
5	0	15
6	1	15
7	1	15
8	1	15
9	1	14
10	1	14
11	2	14
12	2	14
13	2	14
14	2	14
15	2	14
16	2	14
17	3	13
18	3	13
19	3	13
20	3	13
21	3	13
22	3	13
23	4	12
24	4	12
25	4	12
26	4	12
27	4	12
28	4	12
29	5	11
30	5	11
31	5	11
32	15	31
33	15	30
34	15	29
35	16	28
36	16	27
37	16	26
38	16	26
39	16	25
40	17	24
41	17	23
42	17	22
43	17	22
44	17	21
45	17	20
46	17	20
47	18	19
48	18	19
49	18	18
50	18	17
51	18	17
52	19	16
53	19	16
54	19	15
55	19	15
56	19	14
57	19	14
58	20	13
59	20	13
60	20	13
61	20	12
62	20	12
63	20	11
64	21	11
65	21	10
66	21	10
67	21	10
68	21	9
69	21	9
70	22	9
71	22	8
72	22	8
73	22	7
74	22	7
75	23	7
76	23	6
77	23	6
78	23	6
79	23	5
80	23	5
81	24	5
82	24	4
83	24	4
84	24	4
85	24	4
86	25	3
87	25	3
88	25	3
89	25	2
90	25	2
91	26	2
92	26	1
93	26	1
94	26	1
95	26	1
96	26	0
97	27	0
98	27	0
99	27	0
